Adobe After Effects 6.0 Keyframe Data

	Units Per Second	24
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0001
	Frame	X pixels	Y pixels
	115	903.526	613.321
	116	896.741	615.283
	117	890.086	617.318
	118	883.62	618.972
	119	877.468	620.579
	120	871.422	622
	121	865.554	623.366
	122	860.057	624.549
	123	854.75	625.686
	124	849.738	626.49
	125	844.99	627.025
	126	840.583	627.269
	127	836.714	627.375
	128	833.441	626.965
	129	830.808	626.642
	130	828.847	626.392
	131	827.379	625.966
	132	826.399	625.501
	133	825.575	625.039
	134	824.938	624.513
	135	824.701	623.836
	136	824.949	622.674
	137	825.665	621.725
	138	826.989	620.782
	139	828.902	619.983
	140	831.044	619.471
	141	834.164	618.882
	142	838.603	618.184
	143	844.184	617.444
	144	851.391	616.682
	145	860.039	615.791
	146	870.03	615.023
	147	881.514	614.788
	148	894.085	614.854
	149	907.48	615.198
	150	921.575	615.803

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0003
	Frame	X pixels	Y pixels
	0	855.675	687.945
	1	856.776	688.103
	2	857.675	688.31
	3	858.51	688.334
	4	859.387	688.176
	5	860.229	688.203
	6	861.166	688.394
	7	862.044	688.681
	8	862.562	688.951
	9	863.209	689.294
	10	864.205	689.961
	11	865.277	690.661
	12	866.153	691.159
	13	866.823	691.44
	14	867.53	691.937
	15	868.092	692.611
	16	868.679	693.344
	17	869.029	694.158
	18	869.466	695.346
	19	869.961	696.752
	20	870.393	698.229
	21	870.452	699.605
	22	870.219	701.046
	23	869.685	702.774
	24	868.869	704.509
	25	867.772	705.705
	26	866.072	706.387
	27	863.968	707.015
	28	861.917	707.928
	29	859.414	708.536
	30	856.556	708.904
	31	853.652	709.259
	32	850.175	709.677
	33	846.366	709.669
	34	842.798	709.775
	35	839.149	710.133
	36	835.392	710.662
	37	831.525	711.381
	38	827.471	712.063
	39	823.088	712.71
	40	818.501	713.26
	41	813.978	713.813
	42	809.229	714
	43	804.172	714.205
	44	799.143	714.324
	45	793.882	714.528
	46	788.707	714.792
	47	783.579	715.074
	48	778.412	715.52
	49	773.519	716.253
	50	768.883	717.207
	51	764.578	718.308
	52	760.508	719.171
	53	756.699	719.96
	54	753.243	720.6
	55	750.012	721.096
	56	746.831	721.087
	57	744.001	721.122
	58	741.384	721.138
	59	739.281	721.262
	60	737.505	721.285
	61	736.024	721.285
	62	734.894	721.142
	63	733.739	721.113
	64	732.931	721.092
	65	732.249	720.913
	66	731.66	720.602
	67	731.452	720.186
	68	731.362	719.761
	69	731.511	719.353
	70	731.827	718.949
	71	732.004	718.585
	72	732.317	718.564
	73	732.619	718.831
	74	732.602	719.069
	75	732.287	719.142
	76	731.777	719.006
	77	731.424	718.896
	78	731.062	718.943
	79	730.669	719.064
	80	729.982	719.322
	81	729.351	719.771
	82	728.906	720.172
	83	728.339	720.204
	84	728.028	720.171
	85	728.166	720.365
	86	728.465	720.411
	87	728.932	720.156
	88	729.659	719.933
	89	730.344	719.887
	90	731.103	719.902
	91	732	720
	92	732.765	720.081
	93	733.402	720.096
	94	734.035	719.984
	95	734.613	719.887
	96	734.997	719.83
	97	735.062	719.886
	98	734.806	720.333
	99	734.455	721.065
	100	733.977	721.843
	101	733.248	722.426
	102	732.28	723.017
	103	731.096	723.714
	104	729.869	724.37
	105	728.375	725.028
	106	726.757	725.614
	107	724.965	726.161
	108	723.199	726.677
	109	721.375	727.156
	110	719.065	727.991
	111	716.634	729.441
	112	714.07	731.385
	113	711.437	733.581
	114	708.591	736.042
	115	705.502	738.436
	116	702.494	740.854
	117	699.496	743.231
	118	696.564	745.739
	119	693.674	747.637
	120	690.674	749.225
	121	687.702	750.8
	122	684.903	752.489
	123	682.406	754.005
	124	680.169	755.612
	125	678.042	756.995
	126	675.954	758.113
	127	674.334	758.882
	128	672.974	759.618
	129	671.937	760.388
	130	671.397	761.112
	131	671.068	761.944
	132	671.157	762.559
	133	671.392	763.017
	134	671.69	763.244
	135	672.123	763.23
	136	672.811	763.083
	137	673.837	762.622
	138	675.405	762.237
	139	677.312	761.813
	140	679.713	761.495
	141	682.785	761.353
	142	685.939	761.261
	143	688.956	760.932
	144	692.288	760.264
	145	695.815	759.19
	146	700.295	758.069
	147	705.808	757.218
	148	711.597	755.888
	149	717.925	754.623
	150	724.907	753.661

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0004
	Frame	X pixels	Y pixels
	0	1135.35	707.996
	1	1135.99	708.364
	2	1136.43	708.905
	3	1136.73	709.165
	4	1137.03	709.2
	5	1137.24	709.389
	6	1137.42	709.866
	7	1137.43	710.272
	8	1137.12	710.599
	9	1136.81	710.988
	10	1136.73	711.69
	11	1136.6	712.425
	12	1136.09	712.915
	13	1135.18	713.021
	14	1133.85	713.229
	15	1132.24	713.673
	16	1130.41	714.142
	17	1128.16	714.867
	18	1125.75	715.984
	19	1123.31	717.406
	20	1120.79	718.914
	21	1117.92	720.159
	22	1114.88	721.389
	23	1111.68	722.855
	24	1108.19	724.574
	25	1104.28	725.735
	26	1099.84	726.348
	27	1095.2	726.868
	28	1090.86	727.332
	29	1086.5	727.556
	30	1082.1	727.477
	31	1077.85	727.635
	32	1073.23	727.863
	33	1068.42	728.226
	34	1063.93	728.555
	35	1059.53	728.987
	36	1055.31	729.497
	37	1051.12	730.055
	38	1046.91	730.453
	39	1042.4	730.508
	40	1037.97	730.462
	41	1033.81	730.387
	42	1029.68	730.027
	43	1025.69	729.635
	44	1021.97	729.079
	45	1018.17	728.563
	46	1014.66	727.893
	47	1011.35	727.362
	48	1008.01	726.916
	49	1005.03	726.898
	50	1002.31	727.181
	51	999.851	727.484
	52	997.551	727.584
	53	995.441	727.75
	54	993.587	727.762
	55	991.855	727.677
	56	990.239	727.073
	57	988.89	726.635
	58	987.785	726.221
	59	987.218	725.956
	60	986.989	725.603
	61	987.137	725.256
	62	987.528	724.728
	63	987.945	724.346
	64	988.773	723.979
	65	989.696	723.466
	66	990.719	722.681
	67	992.039	721.797
	68	993.368	720.959
	69	994.947	720.071
	70	996.601	719.207
	71	998.039	718.589
	72	999.514	718.293
	73	1000.92	718.511
	74	1001.89	718.838
	75	1002.56	719.034
	76	1003.03	718.909
	77	1003.72	718.768
	78	1004.49	718.873
	79	1005.27	719.221
	80	1005.8	719.419
	81	1006.43	719.817
	82	1007.14	720.054
	83	1007.7	719.801
	84	1008.47	719.591
	85	1009.61	719.685
	86	1010.87	719.708
	87	1012.17	719.432
	88	1013.55	719.244
	89	1014.8	719.363
	90	1015.9	719.646
	91	1017	720
	92	1017.76	720.248
	93	1018.21	720.384
	94	1018.49	720.274
	95	1018.51	720.06
	96	1018.26	719.797
	97	1017.51	719.627
	98	1016.35	719.853
	99	1015	720.341
	100	1013.37	720.72
	101	1011.36	720.913
	102	1009	721.003
	103	1006.4	721.204
	104	1003.67	721.344
	105	1000.77	721.379
	106	997.627	721.592
	107	994.302	721.789
	108	991.014	721.965
	109	987.681	722.3
	110	983.725	723.04
	111	979.586	724.24
	112	975.259	725.706
	113	970.801	727.293
	114	966.081	729.014
	115	961.14	730.654
	116	956.176	732.391
	117	951.258	734.104
	118	946.493	735.851
	119	941.755	737.273
	120	937.067	738.447
	121	932.395	739.639
	122	928.033	740.853
	123	923.851	741.867
	124	919.964	742.754
	125	916.326	743.167
	126	912.893	743.382
	127	910.023	743.382
	128	907.643	743.233
	129	905.792	743.223
	130	904.557	743.245
	131	903.552	743.457
	132	903.003	743.513
	133	902.623	743.387
	134	902.463	743.064
	135	902.556	742.633
	136	903.051	741.901
	137	903.959	741.168
	138	905.523	740.388
	139	907.552	739.773
	140	910.152	739.442
	141	913.501	739.138
	142	917.459	739.034
	143	921.826	738.895
	144	927.045	738.711
	145	933.077	738.32
	146	940.359	738.167
	147	948.759	738.664
	148	957.751	739.057
	149	967.248	739.667
	150	977.404	740.611

End of Keyframe Data
